model,response
llama-v3p1-70b-instruct,"Young, affluent, adventurous, sophisticated, outgoing, spontaneous, confident, charismatic, laid-back, discerning"
gpt-4o-mini,"Fun, adventurous, sociable, laid-back, trendy, spirited, open-minded, youthful, easygoing, lively"
gemini-1.5-flash,"Stylish, sophisticated, outgoing, adventurous, social, trendy, confident, fun-loving, easygoing, discerning."
claude-3-sonnet-20240229,"Casual, fun-loving, social, trendy, laidback, urban, hip, relaxed, modern, earthy."
grok-beta,"casual, social, relaxed, confident, playful, straightforward, cool, lively, approachable, fun-loving"
llama-v3p1-70b-instruct,"Fun, social, adventurous, confident, charismatic, outgoing, laid-back, youthful, carefree, sophisticated"
gpt-4o-mini,"Social, adventurous, fun-loving, laid-back, trendy, easygoing, expressive, open-minded, youthful, spirited"
gemini-1.5-flash,"Trendy, sophisticated, adventurous, outgoing, fun-loving, social, confident, stylish, independent, discerning"
claude-3-sonnet-20240229,"Casual, relaxed, easygoing, unpretentious, down-to-earth, sociable, fun-loving, budget-conscious, loyal, adventurous."
grok-beta,"fun-loving, adventurous, laid-back, sociable, spontaneous, lively, confident, casual, approachable, energetic"
llama-v3p1-70b-instruct,"Sophisticated, laid-back, adventurous, health-conscious, environmentally aware, social, confident, charismatic, eclectic, discerning"
gpt-4o-mini,"Casual, fun-loving, adventurous, social, laid-back, open-minded, friendly, relaxed, trendy, youthful"
gemini-1.5-flash,"Stylish, sophisticated, trendy, outgoing, social, adventurous, carefree, fun-loving, independent, confident."
claude-3-sonnet-20240229,"Casual, relaxed, down-to-earth, unpretentious, sociable, easygoing, trendy, fun-loving, urban, laidback."
grok-beta,"outdoorsy, adventurous, confident, casual, fun-loving, social, straightforward, upbeat, authentic, spirited"
llama-v3p1-70b-instruct,"Sophisticated, refined, laid-back, casual, social, adventurous, spontaneous, young, affluent, cosmopolitan"
gpt-4o-mini,"Laid-back, sociable, adventurous, fun-loving, casual, trendy, young-at-heart, free-spirited, playful, relaxed"
gemini-1.5-flash,"Sophisticated,  stylish,  trendy,  outgoing,  fun-loving,  adventurous,  confident,  independent,  social,  successful"
claude-3-sonnet-20240229,"Casual, laid-back, unpretentious, down-to-earth, sociable, fun-loving, approachable, easygoing, relaxed, no-frills."
grok-beta,"sophisticated, social, fun-loving, adventurous, casual, charismatic, energetic, easy-going, confident, outgoing"
llama-v3p1-70b-instruct,"Sophisticated, trendy, urban, adventurous, spontaneous, outgoing, confident, charismatic, laid-back, eclectic"
gpt-4o-mini,"Social, adventurous, fun-loving, casual, trendy, easygoing, vibrant, open-minded, confident, approachable"
gemini-1.5-flash,"Cool, sophisticated, social, outgoing, trendy, adventurous, confident, stylish, relaxed, fun-loving"
claude-3-sonnet-20240229,"Casual, sociable, laid-back, unpretentious, easygoing, fun-loving, down-to-earth, relaxed, approachable, mellow."
grok-beta,"adventurous, sociable, fun-loving, laid-back, energetic, charismatic, bold, youthful, spontaneous, confident"
llama-v3p1-70b-instruct,"Sophisticated, trendy, outgoing, charismatic, confident, adventurous, spontaneous, lively, affluent, cosmopolitan"
